id,aleacion,composicion,categoria,fabricacion,fase,densidad,dureza,modulo_young,limite_elastico,esfuerzo_ultimo,deformacion
474,NbCrMo0.5Ta0.5TiZr,Nb-Cr-Mo0.5-Ta0.5-Ti-Zr,Refractario,Fusion por arco al vacio + estudio 1473 K,BCC+FCC,8,NA,NA,170,190,NA
475,NbTiVZr,"Nb28,3-Ti24,5-V23,0-Zr24,2",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa,BCC,6.52,335,NA,1105,NA,50
476,NbTiVZr,"Nb28,3-Ti24,5-V23,0-Zr24,2",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 873 K,BCC,6.52,NA,NA,8347,NA,50
477,NbTiVZr,"Nb28,3-Ti24,5-V23,0-Zr24,2",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1073 K,BCC,6.52,NA,NA,187,NA,50
478,NbTiVZr,"Nb28,3-Ti24,5-V23,0-Zr24,2",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1273 K,BCC,6.52,310,NA,58,NA,50
479,NbTiV2Zr,"Nb22,6-Ti19,4-V37,2-Zr20,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa,BCC,6.34,304,NA,918,NA,50
480,NbTiV2Zr,"Nb22,6-Ti19,4-V37,2-Zr20,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 873 K,BCC,6.34,NA,NA,571,NA,50
481,NbTiV2Zr,"Nb22,6-Ti19,4-V37,2-Zr20,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1073 K,BCC,6.34,NA,NA,240,NA,50
482,NbTiV2Zr,"Nb22,6-Ti19,4-V37,2-Zr20,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1273 K,BCC,6.34,302,NA,72,NA,50
483,CrNbTiZr,"Cr24,6-Nb26,7-Ti23,9-Zr24,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa,BCC+IM,6.67,418,NA,1260,NA,6
484,CrNbTiZr,"Cr24,6-Nb26,7-Ti23,9-Zr24,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 873 K,BCC+IM,6.67,NA,NA,1035,NA,50
485,CrNbTiZr,"Cr24,6-Nb26,7-Ti23,9-Zr24,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1073 K,BCC+IM,6.67,NA,NA,300,NA,50
486,CrNbTiZr,"Cr24,6-Nb26,7-Ti23,9-Zr24,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1273 K,BCC+IM,6.67,396,NA,115,NA,50
487,CrNbTiVZr,"Cr20,2-Nb20-Ti19,9-V19,6-Zr20,3",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa,BCC+IM,6.57,481,NA,1290,NA,3
488,CrNbTiVZr,"Cr20,2-Nb20-Ti19,9-V19,6-Zr20,3",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 873 K,BCC+IM,6.57,NA,NA,1230,NA,10
489,CrNbTiVZr,"Cr20,2-Nb20-Ti19,9-V19,6-Zr20,3",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1073 K,BCC+IM,6.57,NA,NA,615,NA,50
